feature,importance
Dung tích xe_Trên 175 cc,0.2088701093527815
Dòng xe_SH,0.19375083865428297
Năm đăng ký,0.14809348181759505
Số Km đã đi,0.11166684820668152
Thương hiệu_Harley Davidson,0.04007718334842351
Dòng xe_Sport / Xipo,0.029671549247942092
Dòng xe_YAZ,0.0277766775386143
Xuất xứ_Nước khác,0.02202301728798063
Xuất xứ_Đức,0.015777296478667473
Thương hiệu_Triumph,0.013485484945148243
Xuất xứ_Việt Nam,0.010638212866777371
Dòng xe_Dòng khác,0.010292148837214578
Thương hiệu_BMW,0.009537414664709802
Thương hiệu_Honda,0.00860123373769263
Xuất xứ_Thái Lan,0.008169378369204049
Xuất xứ_Nhật Bản,0.008052184516898923
Thương hiệu_Ducati,0.007881336360950933
Thương hiệu_Piaggio,0.007462675496295555
Xuất xứ_Đang cập nhật,0.006613073202814618
Loại xe_Xe số,0.0062945686998538185
Dòng xe_Z1000,0.006176377801606081
Dòng xe_Vario,0.005272998360063313
Dòng xe_R nine T,0.004774180359141762
Loại xe_Tay ga,0.004261307771529772
Dòng xe_1290 Super Duke R,0.00424665972027187
Loại xe_Tay côn/Moto,0.00398263501139652
Dòng xe_Exciter,0.003738744896370887
Xuất xứ_Mỹ,0.0036875422299405014
Dung tích xe_100 - 175 cc,0.0036490504231849997
Dòng xe_Shadow,0.003180622189110989
Dòng xe_Multistrada,0.0030846958819360027
Dòng xe_CB,0.0029451708890520308
Dòng xe_Satria,0.0025955572211963217
Dòng xe_Nova,0.0025181873186798914
Dòng xe_SH Mode,0.002495186238217066
Dòng xe_R1200,0.0022094547093241823
Dòng xe_Cub,0.0021152221970333796
Thương hiệu_Yamaha,0.001653201232068279
Dòng xe_CBR,0.0015787008016502786
Dòng xe_Future,0.001572000714847194
Dòng xe_Tracer,0.0015557105024471302
Dòng xe_XSR,0.0015174227034167609
Dòng xe_Air Blade,0.0014586585248211163
Dòng xe_Dyna,0.0013425083611327405
Dòng xe_Kawasaki,0.0012742904748926302
Dòng xe_Hypermotard,0.001233223937638819
Dòng xe_Wave,0.0012198741405767934
