Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Gia_trieu,Tuổi xe
Piaggio,Vespa,2024,14000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,66.0,1
Honda,SH,2019,28000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,79.5,6
Honda,Vision,2023,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,37.0,2
Piaggio,Vespa,2019,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,45.0,6
Yamaha,Latte,2021,24000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,23.0,4
SYM,Elegant,2018,25000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,7.5,7
Honda,Air Blade,2013,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,16.0,12
Honda,Wave,2003,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,7.3,22
Yamaha,Sirius,2015,35000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,7.5,10
Honda,Lead,2020,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,33.0,5
Honda,SH,2005,8000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,100.0,20
SYM,Wolf,2016,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan,14.8,9
Yamaha,Exciter,2014,20000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,18.5,11
Honda,Vario,2024,900,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,37.0,1
Hãng khác,Dòng khác,2001,300000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.0,24
Honda,Air Blade,2023,70000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,11.0,2
Honda,Cub,2022,8600,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,83.0,3
Honda,Vario,2019,27000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,33.0,6
Piaggio,Vespa,2016,23000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,30.0,9
Honda,SH,2008,38000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,65.0,17
Honda,Vision,2022,2642,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,29.9,3
Honda,Wave,2015,450000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,9.0,10
Honda,Wave,2014,6000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,15.0,11
Honda,CBR,2019,9999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,31.999,6
KTM,1290 Super Duke R,2014,13000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,350.0,11
Honda,Winner X,2019,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,19.0,6
Honda,SCR,2010,15000,Đã sử dụng,Tay ga,100 - 175 cc,Trung Quốc,7.0,15
Suzuki,Hayate,2011,55000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,4.3,14
Yamaha,Exciter,2022,48364,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,32.0,3
Honda,Wave,2018,30000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.5,7
Honda,SH,2022,9500,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,87.0,3
Hãng khác,Dòng khác,2019,5000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,43.0,6
